tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P
5083579,46800.0,46903.0,46971.0,47113.0,47195.0,47212.0,47241.0,47340.0,47381.0,47460.0,47553.0,47593.0,47660.0,47736.0,47777.0,47812.0,47867.0,47902.0,47920.0,47941.0,47976.0,48004.0,48053.0,48109.0,48160.0,48205.0,48233.0,48319.0,48392.0,48479.0,48533.0,48614.0,48689.0,48793.0,48855.0,48915.0,48980.0,49042.0,49071.0,49116.0,49186.0,49259.0,49353.0,49388.0,49461.0
5083583,61200.0,61358.0,61462.0,61680.0,61800.0,61845.0,61920.0,62040.0,62100.0,62202.0,62322.0,62374.0,62460.0,62538.0,62580.0,62640.0,62713.0,62760.0,62789.0,62824.0,62880.0,62912.0,62970.0,63035.0,63094.0,63147.0,63180.0,63300.0,63360.0,63480.0,63540.0,63600.0,63650.0,63720.0,63774.0,63826.0,63882.0,63936.0,63960.0,64030.0,64140.0,64200.0,64284.0,64315.0,64380.0
5083585,68400.0,68531.0,68617.0,68797.0,68873.0,68890.0,68919.0,68993.0,69064.0,69114.0,69173.0,69198.0,69240.0,69301.0,69333.0,69370.0,69419.0,69450.0,69470.0,69494.0,69532.0,69558.0,69605.0,69657.0,69705.0,69748.0,69774.0,69848.0,69918.0,69996.0,70046.0,70120.0,70172.0,70243.0,70304.0,70363.0,70426.0,70487.0,70514.0,70562.0,70639.0,70677.0,70768.0,70801.0,70871.0
5083587,75600.0,75692.0,75752.0,75879.0,75963.0,75979.0,76005.0,76093.0,76126.0,76171.0,76224.0,76247.0,76284.0,76332.0,76358.0,76378.0,76426.0,76457.0,76477.0,76501.0,76540.0,76566.0,76612.0,76663.0,76710.0,76752.0,76777.0,76848.0,76898.0,76988.0,77038.0,77108.0,77150.0,77209.0,77246.0,77282.0,77321.0,77358.0,77374.0,77415.0,77481.0,77530.0,77621.0,77655.0,77725.0
5083589,82800.0,82892.0,82952.0,83079.0,83163.0,83179.0,83205.0,83293.0,83326.0,83371.0,83424.0,83447.0,83484.0,83532.0,83558.0,83578.0,83626.0,83657.0,83677.0,83701.0,83740.0,83766.0,83812.0,83863.0,83910.0,83952.0,83977.0,84048.0,84098.0,84188.0,84238.0,84308.0,84350.0,84409.0,84446.0,84482.0,84521.0,84558.0,84574.0,84615.0,84681.0,84730.0,84821.0,84855.0,84925.0
5088267,24000.0,24091.0,24151.0,24277.0,24341.0,24364.0,24401.0,24533.0,24663.0,24731.0,24810.0,24844.0,24901.0,24958.0,24989.0,25015.0,25078.0,25119.0,25136.0,25157.0,25190.0,25212.0,25252.0,25297.0,25338.0,25375.0,25398.0,25474.0,25547.0,25620.0,25674.0,25747.0,25805.0,25886.0,25944.0,26000.0,26060.0,26118.0,26143.0,26186.0,26254.0,26326.0,26415.0,26448.0,26516.0
5088269,34200.0,34301.0,34367.0,34505.0,34586.0,34610.0,34650.0,34773.0,34931.0,35002.0,35086.0,35122.0,35182.0,35253.0,35291.0,35323.0,35380.0,35416.0,35434.0,35456.0,35491.0,35520.0,35572.0,35631.0,35685.0,35733.0,35764.0,35846.0,35913.0,35988.0,36043.0,36121.0,36202.0,36314.0,36378.0,36440.0,36507.0,36571.0,36599.0,36650.0,36731.0,36775.0,36866.0,36899.0,36969.0
5088271,43200.0,43322.0,43402.0,43569.0,43668.0,43695.0,43741.0,43883.0,43967.0,44045.0,44136.0,44175.0,44241.0,44317.0,44357.0,44398.0,44456.0,44494.0,44516.0,44543.0,44586.0,44617.0,44673.0,44736.0,44793.0,44844.0,44875.0,44962.0,45033.0,45127.0,45187.0,45275.0,45378.0,45520.0,45589.0,45656.0,45729.0,45798.0,45830.0,45880.0,45959.0,46025.0,46128.0,46166.0,46245.0
5088273,52200.0,52322.0,52402.0,52569.0,52668.0,52695.0,52741.0,52883.0,52967.0,53045.0,53136.0,53175.0,53241.0,53317.0,53357.0,53398.0,53456.0,53494.0,53516.0,53543.0,53586.0,53617.0,53673.0,53736.0,53793.0,53844.0,53875.0,53962.0,54033.0,54127.0,54187.0,54275.0,54378.0,54520.0,54589.0,54656.0,54729.0,54798.0,54830.0,54880.0,54959.0,55025.0,55128.0,55166.0,55245.0
5088275,61200.0,61340.0,61432.0,61624.0,61715.0,61748.0,61804.0,62047.0,62167.0,62266.0,62383.0,62433.0,62517.0,62628.0,62688.0,62746.0,62818.0,62864.0,62885.0,62910.0,62951.0,62990.0,63059.0,63137.0,63208.0,63272.0,63312.0,63406.0,63519.0,63626.0,63688.0,63770.0,63857.0,63976.0,64045.0,64112.0,64185.0,64254.0,64286.0,64339.0,64422.0,64479.0,64569.0,64602.0,64672.0
