tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P
5091599,81000.0,81010.0,81129.0,81199.0,81316.0,81398.0,81489.0,81547.0,81583.0,81622.0,81664.0,81713.0,81760.0,81799.0,81854.0,81904.0,81932.0,81973.0,82000.0,82038.0,82072.0,82106.0,82151.0,82177.0,82223.0,82285.0,82335.0,82383.0,82395.0,82438.0,82455.0,82496.0,82522.0,82614.0,82646.0,82689.0
5092209,48600.0,48608.0,48707.0,48765.0,48863.0,48960.0,49067.0,49135.0,49169.0,49206.0,49251.0,49304.0,49343.0,49374.0,49419.0,49459.0,49482.0,49525.0,49554.0,49598.0,49628.0,49658.0,49698.0,49729.0,49783.0,49856.0,49915.0,49963.0,49975.0,50019.0,50036.0,50075.0,50100.0,50187.0,50217.0,50258.0
5092211,54000.0,54012.0,54153.0,54236.0,54374.0,54473.0,54561.0,54617.0,54647.0,54679.0,54718.0,54765.0,54809.0,54845.0,54897.0,54943.0,54970.0,55011.0,55039.0,55076.0,55115.0,55154.0,55205.0,55232.0,55281.0,55367.0,55436.0,55483.0,55495.0,55537.0,55553.0,55591.0,55615.0,55700.0,55730.0,55770.0
5092213,59400.0,59413.0,59571.0,59663.0,59818.0,59929.0,60068.0,60156.0,60199.0,60246.0,60301.0,60366.0,60409.0,60444.0,60495.0,60540.0,60566.0,60625.0,60664.0,60713.0,60751.0,60789.0,60840.0,60876.0,60941.0,61046.0,61130.0,61189.0,61204.0,61257.0,61274.0,61314.0,61339.0,61429.0,61460.0,61502.0
5092217,70200.0,70211.0,70349.0,70430.0,70566.0,70673.0,70771.0,70834.0,70872.0,70913.0,70953.0,71001.0,71051.0,71092.0,71151.0,71204.0,71233.0,71276.0,71305.0,71340.0,71371.0,71402.0,71443.0,71478.0,71540.0,71593.0,71635.0,71684.0,71696.0,71741.0,71757.0,71795.0,71819.0,71903.0,71932.0,71971.0
5092219,75600.0,75611.0,75744.0,75822.0,75952.0,76045.0,76135.0,76193.0,76232.0,76274.0,76324.0,76383.0,76422.0,76454.0,76500.0,76541.0,76564.0,76608.0,76638.0,76678.0,76718.0,76757.0,76810.0,76840.0,76894.0,76955.0,77003.0,77048.0,77059.0,77100.0,77119.0,77163.0,77191.0,77290.0,77324.0,77370.0
5092221,81000.0,81011.0,81144.0,81222.0,81352.0,81445.0,81535.0,81593.0,81632.0,81674.0,81724.0,81783.0,81822.0,81854.0,81900.0,81941.0,81964.0,82008.0,82038.0,82078.0,82118.0,82157.0,82210.0,82240.0,82294.0,82355.0,82403.0,82448.0,82459.0,82500.0,82519.0,82563.0,82591.0,82690.0,82724.0,82770.0
5093718,32100.0,32109.0,32216.0,32279.0,32385.0,32536.0,32693.0,32794.0,32837.0,32884.0,32939.0,33004.0,33067.0,33118.0,33191.0,33257.0,33294.0,33340.0,33370.0,33408.0,33462.0,33515.0,33586.0,33620.0,33681.0,33774.0,33849.0,33893.0,33904.0,33944.0,33961.0,34001.0,34026.0,34114.0,34145.0,34185.0
5093720,61800.0,61813.0,61965.0,62054.0,62203.0,62335.0,62468.0,62553.0,62595.0,62641.0,62709.0,62789.0,62845.0,62890.0,62955.0,63013.0,63046.0,63091.0,63121.0,63168.0,63212.0,63255.0,63313.0,63348.0,63411.0,63529.0,63624.0,63699.0,63718.0,63787.0,63809.0,63860.0,63892.0,64006.0,64046.0,64100.0
5097580,37800.0,37806.0,37877.0,37918.0,37988.0,38066.0,38170.0,38237.0,38263.0,38290.0,38333.0,38384.0,38425.0,38458.0,38506.0,38549.0,38573.0,38596.0,38612.0,38636.0,38665.0,38694.0,38732.0,38755.0,38795.0,38864.0,38919.0,38959.0,38969.0,39005.0,39020.0,39056.0,39078.0,39158.0,39186.0,39223.0
