tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P
5098778,54000.0,54035.0,54060.0,54086.0,54132.0,54198.0,54231.0,54268.0,54333.0,54366.0,54402.0,54454.0,54523.0,54559.0,54652.0,54698.0,54751.0,54868.0,54930.0,54981.0,55031.0,55077.0,55116.0,55160.0,55242.0,55284.0,55328.0,55373.0,55426.0,55460.0,55515.0,55539.0,55622.0,55676.0,55739.0,55876.0,55954.0,56032.0,56110.0
5098780,60000.0,60034.0,60059.0,60084.0,60128.0,60192.0,60224.0,60260.0,60323.0,60350.0,60380.0,60428.0,60492.0,60525.0,60611.0,60653.0,60702.0,60843.0,60924.0,60990.0,61041.0,61087.0,61127.0,61171.0,61261.0,61307.0,61356.0,61406.0,61457.0,61489.0,61539.0,61560.0,61637.0,61688.0,61746.0,61934.0,62012.0,62090.0,62169.0
5099312,37200.0,37232.0,37255.0,37279.0,37321.0,37382.0,37412.0,37446.0,37507.0,37537.0,37570.0,37612.0,37668.0,37697.0,37771.0,37808.0,37850.0,37938.0,37998.0,38048.0,38102.0,38152.0,38191.0,38234.0,38309.0,38348.0,38388.0,38430.0,38478.0,38508.0,38565.0,38589.0,38686.0,38750.0,38823.0,39001.0,39087.0,39173.0,39260.0
5099314,43200.0,43234.0,43259.0,43284.0,43328.0,43392.0,43424.0,43460.0,43523.0,43554.0,43587.0,43633.0,43694.0,43726.0,43807.0,43847.0,43893.0,43970.0,44034.0,44086.0,44142.0,44193.0,44241.0,44294.0,44384.0,44430.0,44478.0,44528.0,44582.0,44617.0,44680.0,44707.0,44797.0,44856.0,44923.0,45080.0,45159.0,45238.0,45316.0
5099318,55200.0,55235.0,55260.0,55286.0,55332.0,55398.0,55431.0,55468.0,55533.0,55566.0,55602.0,55654.0,55723.0,55759.0,55852.0,55898.0,55951.0,56068.0,56130.0,56181.0,56231.0,56277.0,56316.0,56360.0,56442.0,56484.0,56528.0,56573.0,56626.0,56660.0,56715.0,56739.0,56822.0,56876.0,56939.0,57076.0,57154.0,57232.0,57310.0
5099320,61200.0,61234.0,61259.0,61284.0,61328.0,61392.0,61424.0,61460.0,61523.0,61550.0,61580.0,61628.0,61692.0,61725.0,61811.0,61853.0,61902.0,62043.0,62124.0,62190.0,62241.0,62287.0,62327.0,62371.0,62461.0,62507.0,62556.0,62606.0,62657.0,62689.0,62739.0,62760.0,62837.0,62888.0,62946.0,63134.0,63212.0,63290.0,63369.0
5099322,67800.0,67831.0,67854.0,67877.0,67918.0,67977.0,68006.0,68039.0,68096.0,68120.0,68146.0,68178.0,68221.0,68243.0,68300.0,68328.0,68362.0,68440.0,68489.0,68529.0,68571.0,68610.0,68641.0,68675.0,68739.0,68772.0,68806.0,68841.0,68884.0,68912.0,68958.0,68977.0,69047.0,69093.0,69145.0,69267.0,69340.0,69413.0,69485.0
5099324,73800.0,73827.0,73847.0,73867.0,73903.0,73954.0,73980.0,74009.0,74059.0,74079.0,74101.0,74124.0,74154.0,74170.0,74210.0,74230.0,74253.0,74316.0,74359.0,74394.0,74431.0,74465.0,74490.0,74518.0,74575.0,74604.0,74634.0,74665.0,74702.0,74725.0,74768.0,74786.0,74840.0,74875.0,74916.0,75034.0,75112.0,75190.0,75268.0
5099453,47700.0,47731.0,47753.0,47776.0,47816.0,47873.0,47902.0,47934.0,47989.0,48023.0,48060.0,48095.0,48142.0,48166.0,48229.0,48260.0,48297.0,48342.0,48406.0,48458.0,48508.0,48553.0,48584.0,48619.0,48685.0,48719.0,48754.0,48790.0,48838.0,48869.0,48931.0,48957.0,49040.0,49094.0,49157.0,49270.0,49347.0,49424.0,49500.0
5099461,69300.0,69337.0,69364.0,69391.0,69439.0,69509.0,69544.0,69583.0,69650.0,69680.0,69712.0,69744.0,69787.0,69809.0,69866.0,69894.0,69927.0,69985.0,70020.0,70049.0,70094.0,70135.0,70160.0,70187.0,70247.0,70278.0,70310.0,70342.0,70387.0,70415.0,70461.0,70480.0,70532.0,70566.0,70606.0,70705.0,70785.0,70865.0,70946.0
5102348,35100.0,35132.0,35155.0,35179.0,35221.0,35282.0,35312.0,35346.0,35407.0,35437.0,35470.0,35512.0,35568.0,35597.0,35671.0,35708.0,35750.0,35838.0,35898.0,35948.0,36002.0,36052.0,36091.0,36134.0,36209.0,36248.0,36288.0,36330.0,36378.0,36408.0,36465.0,36489.0,36586.0,36650.0,36723.0,36901.0,36987.0,37073.0,37160.0
5102350,66300.0,66335.0,66361.0,66387.0,66433.0,66499.0,66532.0,66569.0,66634.0,66667.0,66702.0,66745.0,66802.0,66832.0,66909.0,66947.0,66990.0,67102.0,67179.0,67242.0,67295.0,67343.0,67386.0,67434.0,67516.0,67558.0,67602.0,67646.0,67698.0,67731.0,67778.0,67798.0,67867.0,67912.0,67964.0,68095.0,68170.0,68245.0,68319.0
5102352,72300.0,72331.0,72354.0,72377.0,72418.0,72477.0,72506.0,72539.0,72596.0,72620.0,72646.0,72678.0,72721.0,72743.0,72800.0,72828.0,72862.0,72940.0,72989.0,73029.0,73071.0,73110.0,73141.0,73175.0,73239.0,73272.0,73306.0,73341.0,73384.0,73412.0,73458.0,73477.0,73547.0,73593.0,73645.0,73767.0,73840.0,73913.0,73985.0
5109279,25200.0,25238.0,25266.0,25294.0,25344.0,25416.0,25452.0,25492.0,25561.0,25592.0,25626.0,25655.0,25694.0,25714.0,25766.0,25792.0,25823.0,25923.0,25972.0,26012.0,26071.0,26125.0,26166.0,26211.0,26298.0,26343.0,26390.0,26438.0,26487.0,26519.0,26580.0,26606.0,26743.0,26832.0,26935.0,27091.0,27159.0,27227.0,27296.0
