tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P
5093755,61200.0,61244.0,61271.0,61296.0,61326.0,61362.0,61391.0,61445.0,61487.0,61520.0,61563.0,61665.0,61727.0,61807.0,61832.0,61881.0,61921.0,61956.0,62008.0,62074.0,62136.0,62175.0,62218.0,62331.0,62366.0,62516.0,62593.0,62709.0,62850.0,62943.0,63035.0,63195.0
5093757,66600.0,66644.0,66671.0,66696.0,66726.0,66762.0,66791.0,66845.0,66887.0,66920.0,66963.0,67065.0,67127.0,67207.0,67232.0,67281.0,67321.0,67356.0,67408.0,67474.0,67536.0,67575.0,67618.0,67731.0,67766.0,67916.0,67993.0,68109.0,68250.0,68343.0,68435.0,68595.0
5093759,72000.0,72039.0,72063.0,72085.0,72112.0,72145.0,72171.0,72219.0,72256.0,72285.0,72324.0,72415.0,72491.0,72587.0,72604.0,72639.0,72667.0,72692.0,72728.0,72773.0,72815.0,72842.0,72871.0,72962.0,72991.0,73089.0,73198.0,73280.0,73379.0,73470.0,73560.0,73716.0
5093761,76800.0,76836.0,76858.0,76878.0,76903.0,76933.0,76957.0,77001.0,77035.0,77062.0,77097.0,77189.0,77223.0,77267.0,77280.0,77307.0,77328.0,77347.0,77389.0,77442.0,77492.0,77524.0,77559.0,77639.0,77664.0,77754.0,77823.0,77891.0,77974.0,78070.0,78165.0,78330.0
5093763,81600.0,81636.0,81658.0,81678.0,81703.0,81733.0,81757.0,81801.0,81835.0,81862.0,81897.0,81989.0,82023.0,82067.0,82080.0,82107.0,82128.0,82147.0,82189.0,82242.0,82292.0,82324.0,82359.0,82439.0,82464.0,82554.0,82623.0,82691.0,82774.0,82870.0,82965.0,83130.0
5095343,47100.0,47148.0,47178.0,47205.0,47238.0,47278.0,47310.0,47369.0,47415.0,47451.0,47499.0,47663.0,47768.0,47903.0,47926.0,47971.0,48007.0,48039.0,48087.0,48147.0,48203.0,48238.0,48277.0,48385.0,48419.0,48586.0,48695.0,48791.0,48908.0,49001.0,49093.0,49252.0
5098258,39000.0,39038.0,39062.0,39084.0,39110.0,39142.0,39167.0,39214.0,39250.0,39278.0,39316.0,39393.0,39476.0,39583.0,39601.0,39637.0,39666.0,39692.0,39729.0,39776.0,39820.0,39848.0,39879.0,39983.0,40016.0,40143.0,40208.0,40262.0,40327.0,40390.0,40452.0,40560.0
5098260,44820.0,44861.0,44887.0,44910.0,44939.0,44973.0,45000.0,45050.0,45089.0,45120.0,45161.0,45246.0,45311.0,45393.0,45410.0,45444.0,45472.0,45497.0,45540.0,45593.0,45643.0,45675.0,45710.0,45852.0,45896.0,46019.0,46118.0,46198.0,46295.0,46388.0,46479.0,46637.0
5098262,50220.0,50261.0,50287.0,50310.0,50339.0,50373.0,50400.0,50450.0,50489.0,50520.0,50561.0,50646.0,50711.0,50793.0,50810.0,50844.0,50872.0,50897.0,50940.0,50993.0,51043.0,51075.0,51110.0,51252.0,51296.0,51419.0,51518.0,51598.0,51695.0,51788.0,51879.0,52037.0
5098452,50700.0,50748.0,50778.0,50805.0,50838.0,50878.0,50910.0,50969.0,51015.0,51051.0,51099.0,51263.0,51368.0,51503.0,51526.0,51571.0,51607.0,51639.0,51687.0,51747.0,51803.0,51838.0,51877.0,51985.0,52019.0,52186.0,52295.0,52391.0,52508.0,52601.0,52693.0,52852.0
5098456,63600.0,63643.0,63670.0,63695.0,63725.0,63761.0,63790.0,63843.0,63884.0,63916.0,63961.0,64099.0,64187.0,64299.0,64320.0,64362.0,64396.0,64427.0,64474.0,64532.0,64587.0,64622.0,64660.0,64770.0,64805.0,64984.0,65145.0,65253.0,65383.0,65478.0,65572.0,65735.0
5098459,78000.0,78034.0,78055.0,78074.0,78097.0,78125.0,78147.0,78188.0,78220.0,78245.0,78279.0,78356.0,78405.0,78467.0,78481.0,78508.0,78530.0,78549.0,78583.0,78625.0,78665.0,78690.0,78717.0,78808.0,78837.0,78941.0,79011.0,79074.0,79149.0,79242.0,79333.0,79491.0
5099125,56400.0,56443.0,56470.0,56495.0,56525.0,56561.0,56590.0,56643.0,56684.0,56716.0,56761.0,56899.0,56987.0,57099.0,57120.0,57162.0,57196.0,57227.0,57274.0,57332.0,57387.0,57422.0,57460.0,57570.0,57605.0,57784.0,57945.0,58053.0,58183.0,58278.0,58372.0,58535.0
5102461,37800.0,37848.0,37878.0,37905.0,37938.0,37978.0,38009.0,38067.0,38112.0,38148.0,38196.0,38333.0,38425.0,38542.0,38565.0,38611.0,38648.0,38680.0,38730.0,38793.0,38852.0,38889.0,38932.0,39036.0,39069.0,39228.0,39346.0,39450.0,39576.0,39672.0,39766.0,39929.0
5102463,43800.0,43848.0,43878.0,43905.0,43938.0,43978.0,44010.0,44069.0,44115.0,44151.0,44199.0,44363.0,44468.0,44603.0,44626.0,44671.0,44707.0,44739.0,44787.0,44847.0,44903.0,44938.0,44977.0,45085.0,45119.0,45286.0,45395.0,45491.0,45608.0,45701.0,45793.0,45952.0
5102638,56400.0,56443.0,56470.0,56495.0,56525.0,56561.0,56590.0,56643.0,56684.0,56716.0,56761.0,56899.0,56987.0,57099.0,57120.0,57162.0,57196.0,57227.0,57274.0,57332.0,57387.0,57422.0,57460.0,57570.0,57605.0,57784.0,57945.0,58053.0,58183.0,58278.0,58372.0,58535.0
5102973,27600.0,27654.0,27688.0,27719.0,27757.0,27802.0,27838.0,27905.0,27957.0,27997.0,28051.0,28174.0,28239.0,28321.0,28349.0,28405.0,28450.0,28489.0,28550.0,28626.0,28697.0,28742.0,28792.0,28900.0,28934.0,29122.0,29232.0,29357.0,29508.0,29604.0,29699.0,29863.0
5102985,75300.0,75338.0,75362.0,75384.0,75410.0,75442.0,75467.0,75514.0,75550.0,75578.0,75616.0,75707.0,75768.0,75845.0,75863.0,75900.0,75930.0,75956.0,75999.0,76052.0,76102.0,76134.0,76169.0,76267.0,76297.0,76426.0,76495.0,76554.0,76625.0,76719.0,76812.0,76972.0
5103803,36000.0,36048.0,36078.0,36105.0,36138.0,36178.0,36209.0,36267.0,36312.0,36348.0,36396.0,36533.0,36625.0,36742.0,36765.0,36811.0,36848.0,36880.0,36930.0,36993.0,37052.0,37089.0,37132.0,37236.0,37269.0,37428.0,37546.0,37650.0,37776.0,37872.0,37966.0,38129.0
