tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P
5012727,79200.0,79242.0,79302.0,79344.0,79367.0,79384.0,79448.0,79491.0,79523.0,79592.0,79741.0,79787.0,79815.0,79852.0,79894.0,79933.0,79970.0,80016.0,80074.0,80120.0,80164.0,80213.0,80246.0,80301.0,80357.0,80467.0,80613.0,80738.0,80903.0,81003.0,81088.0,81184.0,81266.0,81307.0,81348.0,81373.0,81404.0,81447.0,81489.0,81508.0,81518.0,81562.0,81582.0,81610.0
5013311,28200.0,28278.0,28389.0,28466.0,28502.0,28529.0,28628.0,28694.0,28740.0,28842.0,29037.0,29115.0,29172.0,29244.0,29328.0,29380.0,29451.0,29551.0,29677.0,29758.0,29823.0,29897.0,29950.0,30040.0,30132.0,30269.0,30416.0,30602.0,30849.0,30998.0,31087.0,31255.0,31400.0,31452.0,31505.0,31535.0,31573.0,31625.0,31675.0,31699.0,31711.0,31766.0,31791.0,31827.0
5013313,64800.0,64851.0,64923.0,64972.0,65000.0,65021.0,65097.0,65147.0,65195.0,65299.0,65482.0,65555.0,65587.0,65644.0,65710.0,65759.0,65815.0,65903.0,66013.0,66090.0,66149.0,66216.0,66260.0,66335.0,66412.0,66528.0,66657.0,66863.0,67136.0,67300.0,67406.0,67591.0,67751.0,67845.0,67940.0,67982.0,68034.0,68106.0,68176.0,68199.0,68211.0,68264.0,68288.0,68322.0
5013870,29100.0,29178.0,29289.0,29366.0,29402.0,29429.0,29528.0,29594.0,29640.0,29742.0,29937.0,30015.0,30072.0,30144.0,30228.0,30280.0,30351.0,30451.0,30577.0,30658.0,30723.0,30797.0,30850.0,30940.0,31032.0,31169.0,31316.0,31502.0,31749.0,31898.0,31987.0,32155.0,32300.0,32352.0,32405.0,32435.0,32473.0,32525.0,32575.0,32599.0,32611.0,32666.0,32691.0,32727.0
5013872,57000.0,57052.0,57127.0,57178.0,57207.0,57228.0,57307.0,57360.0,57405.0,57503.0,57693.0,57761.0,57792.0,57839.0,57894.0,57949.0,57999.0,58071.0,58160.0,58232.0,58294.0,58365.0,58413.0,58495.0,58578.0,58688.0,58837.0,59007.0,59231.0,59366.0,59461.0,59627.0,59770.0,59853.0,59937.0,59979.0,60031.0,60103.0,60170.0,60193.0,60205.0,60258.0,60283.0,60318.0
5014037,24600.0,24669.0,24768.0,24836.0,24872.0,24899.0,24999.0,25065.0,25106.0,25196.0,25378.0,25437.0,25486.0,25543.0,25609.0,25655.0,25714.0,25790.0,25886.0,25981.0,26058.0,26146.0,26192.0,26271.0,26350.0,26503.0,26627.0,26749.0,26911.0,27008.0,27099.0,27253.0,27386.0,27443.0,27501.0,27530.0,27566.0,27615.0,27662.0,27687.0,27700.0,27757.0,27783.0,27819.0
5014039,32700.0,32768.0,32864.0,32930.0,32975.0,33008.0,33131.0,33213.0,33263.0,33374.0,33573.0,33645.0,33702.0,33778.0,33865.0,33923.0,33984.0,34084.0,34210.0,34298.0,34363.0,34437.0,34492.0,34586.0,34681.0,34819.0,34962.0,35169.0,35442.0,35607.0,35707.0,35901.0,36068.0,36114.0,36160.0,36190.0,36227.0,36279.0,36328.0,36350.0,36361.0,36412.0,36436.0,36470.0
5014040,43800.0,43864.0,43955.0,44017.0,44047.0,44070.0,44154.0,44210.0,44260.0,44370.0,44572.0,44639.0,44687.0,44746.0,44814.0,44878.0,44942.0,45009.0,45092.0,45169.0,45248.0,45337.0,45386.0,45469.0,45553.0,45704.0,45870.0,46020.0,46218.0,46337.0,46440.0,46597.0,46732.0,46784.0,46837.0,46872.0,46916.0,46976.0,47034.0,47056.0,47067.0,47118.0,47141.0,47175.0
5014042,52200.0,52266.0,52360.0,52425.0,52454.0,52476.0,52556.0,52609.0,52655.0,52757.0,52978.0,53045.0,53087.0,53147.0,53217.0,53285.0,53352.0,53434.0,53536.0,53625.0,53700.0,53785.0,53827.0,53898.0,53969.0,54146.0,54287.0,54462.0,54694.0,54833.0,54955.0,55119.0,55260.0,55302.0,55344.0,55383.0,55431.0,55497.0,55560.0,55584.0,55596.0,55652.0,55678.0,55715.0
5014046,69600.0,69650.0,69721.0,69770.0,69796.0,69816.0,69889.0,69938.0,69980.0,70072.0,70245.0,70306.0,70343.0,70391.0,70446.0,70491.0,70532.0,70595.0,70674.0,70746.0,70810.0,70882.0,70921.0,70988.0,71056.0,71208.0,71333.0,71502.0,71725.0,71860.0,71964.0,72115.0,72244.0,72291.0,72338.0,72374.0,72418.0,72479.0,72537.0,72559.0,72570.0,72620.0,72643.0,72675.0
