tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P
5013111,82800.0,82808.0,82869.0,82903.0,82953.0,82994.0,83066.0,83301.0,83409.0,83492.0,83617.0,83724.0,83765.0,83807.0,83835.0,83869.0,83917.0,83961.0,83995.0,84035.0,84063.0,84103.0,84130.0,84155.0,84198.0,84241.0,84290.0,84339.0,84395.0,84435.0,84478.0,84519.0,84542.0,84571.0,84625.0,84643.0,84675.0,84704.0,84725.0,84762.0
5014333,33000.0,33012.0,33104.0,33155.0,33230.0,33291.0,33402.0,33713.0,33856.0,33933.0,34093.0,34231.0,34269.0,34307.0,34335.0,34369.0,34417.0,34461.0,34497.0,34538.0,34567.0,34609.0,34637.0,34663.0,34707.0,34748.0,34795.0,34842.0,34896.0,34936.0,34978.0,35014.0,35034.0,35060.0,35107.0,35124.0,35157.0,35180.0,35196.0,35236.0
5014335,40200.0,40208.0,40271.0,40306.0,40357.0,40399.0,40476.0,40751.0,40877.0,40964.0,41116.0,41246.0,41283.0,41321.0,41356.0,41400.0,41461.0,41518.0,41555.0,41597.0,41629.0,41675.0,41706.0,41735.0,41782.0,41826.0,41877.0,41927.0,41985.0,42026.0,42072.0,42107.0,42127.0,42152.0,42198.0,42213.0,42253.0,42279.0,42297.0,42337.0
5014337,47400.0,47408.0,47473.0,47509.0,47561.0,47604.0,47681.0,47927.0,48040.0,48138.0,48283.0,48407.0,48456.0,48505.0,48544.0,48593.0,48661.0,48724.0,48768.0,48818.0,48864.0,48930.0,48974.0,49015.0,49085.0,49137.0,49197.0,49257.0,49326.0,49376.0,49429.0,49473.0,49498.0,49529.0,49586.0,49605.0,49659.0,49692.0,49716.0,49759.0
5014346,23400.0,23405.0,23445.0,23467.0,23500.0,23527.0,23575.0,23708.0,23769.0,23832.0,23920.0,23996.0,24026.0,24057.0,24075.0,24097.0,24127.0,24155.0,24186.0,24222.0,24249.0,24288.0,24314.0,24339.0,24381.0,24421.0,24467.0,24513.0,24565.0,24603.0,24642.0,24668.0,24683.0,24702.0,24736.0,24748.0,24774.0,24793.0,24806.0,24843.0
5014348,30600.0,30611.0,30698.0,30746.0,30816.0,30874.0,30977.0,31311.0,31464.0,31543.0,31722.0,31876.0,31923.0,31971.0,32001.0,32038.0,32089.0,32137.0,32180.0,32229.0,32263.0,32312.0,32345.0,32376.0,32427.0,32475.0,32531.0,32586.0,32649.0,32695.0,32742.0,32778.0,32798.0,32823.0,32870.0,32886.0,32937.0,32961.0,32979.0,33025.0
5014350,37800.0,37808.0,37871.0,37906.0,37957.0,37999.0,38076.0,38351.0,38477.0,38564.0,38716.0,38846.0,38883.0,38921.0,38956.0,39000.0,39061.0,39118.0,39155.0,39197.0,39229.0,39275.0,39306.0,39335.0,39382.0,39426.0,39477.0,39527.0,39585.0,39626.0,39672.0,39707.0,39727.0,39752.0,39798.0,39813.0,39853.0,39879.0,39897.0,39937.0
5014352,45000.0,45008.0,45073.0,45109.0,45161.0,45204.0,45281.0,45527.0,45640.0,45738.0,45883.0,46007.0,46056.0,46105.0,46144.0,46193.0,46261.0,46324.0,46368.0,46418.0,46464.0,46530.0,46574.0,46615.0,46685.0,46737.0,46797.0,46857.0,46926.0,46976.0,47029.0,47073.0,47098.0,47129.0,47186.0,47205.0,47259.0,47292.0,47316.0,47359.0
5014354,52200.0,52208.0,52273.0,52309.0,52361.0,52404.0,52481.0,52727.0,52840.0,52938.0,53083.0,53207.0,53256.0,53305.0,53344.0,53393.0,53461.0,53524.0,53568.0,53618.0,53664.0,53730.0,53774.0,53815.0,53885.0,53937.0,53997.0,54057.0,54126.0,54176.0,54229.0,54273.0,54298.0,54329.0,54386.0,54405.0,54459.0,54492.0,54516.0,54559.0
5014356,59400.0,59410.0,59492.0,59537.0,59603.0,59657.0,59756.0,60066.0,60208.0,60309.0,60476.0,60619.0,60691.0,60765.0,60810.0,60866.0,60943.0,61014.0,61067.0,61129.0,61188.0,61273.0,61330.0,61383.0,61472.0,61528.0,61592.0,61656.0,61729.0,61783.0,61847.0,61900.0,61930.0,61968.0,62038.0,62061.0,62125.0,62165.0,62193.0,62240.0
5014358,66600.0,66613.0,66715.0,66771.0,66853.0,66921.0,67042.0,67402.0,67567.0,67674.0,67872.0,68043.0,68120.0,68198.0,68242.0,68296.0,68371.0,68441.0,68492.0,68550.0,68595.0,68660.0,68704.0,68745.0,68813.0,68866.0,68927.0,68988.0,69057.0,69106.0,69168.0,69219.0,69247.0,69283.0,69349.0,69372.0,69425.0,69460.0,69485.0,69531.0
5014360,73800.0,73808.0,73875.0,73912.0,73966.0,74010.0,74090.0,74414.0,74563.0,74649.0,74797.0,74924.0,74973.0,75022.0,75059.0,75105.0,75168.0,75226.0,75269.0,75318.0,75353.0,75403.0,75437.0,75468.0,75521.0,75569.0,75625.0,75681.0,75744.0,75790.0,75847.0,75893.0,75919.0,75951.0,76011.0,76031.0,76068.0,76104.0,76130.0,76169.0
5014362,81000.0,81008.0,81069.0,81103.0,81153.0,81194.0,81266.0,81501.0,81609.0,81692.0,81817.0,81924.0,81965.0,82007.0,82035.0,82069.0,82117.0,82161.0,82195.0,82235.0,82263.0,82303.0,82330.0,82355.0,82398.0,82441.0,82490.0,82539.0,82595.0,82635.0,82678.0,82719.0,82742.0,82771.0,82825.0,82843.0,82875.0,82904.0,82925.0,82962.0
5015018,62100.0,62112.0,62206.0,62258.0,62334.0,62397.0,62510.0,62944.0,63144.0,63264.0,63460.0,63629.0,63750.0,63873.0,63920.0,63979.0,64060.0,64136.0,64191.0,64254.0,64314.0,64399.0,64456.0,64509.0,64600.0,64656.0,64721.0,64785.0,64859.0,64912.0,64975.0,65029.0,65059.0,65097.0,65168.0,65193.0,65248.0,65286.0,65313.0,65358.0
5015208,54600.0,54610.0,54692.0,54737.0,54803.0,54857.0,54956.0,55266.0,55408.0,55509.0,55676.0,55819.0,55891.0,55965.0,56010.0,56066.0,56143.0,56214.0,56267.0,56329.0,56388.0,56473.0,56530.0,56583.0,56672.0,56728.0,56792.0,56856.0,56929.0,56983.0,57047.0,57100.0,57130.0,57168.0,57238.0,57261.0,57325.0,57365.0,57393.0,57440.0
5018331,26100.0,26107.0,26166.0,26198.0,26245.0,26284.0,26355.0,26510.0,26581.0,26660.0,26824.0,26966.0,27012.0,27059.0,27084.0,27115.0,27158.0,27199.0,27243.0,27293.0,27324.0,27369.0,27399.0,27427.0,27475.0,27509.0,27549.0,27589.0,27634.0,27667.0,27706.0,27741.0,27761.0,27786.0,27831.0,27846.0,27920.0,27942.0,27958.0,27998.0
5018333,60300.0,60310.0,60392.0,60437.0,60503.0,60557.0,60656.0,60966.0,61108.0,61209.0,61376.0,61519.0,61591.0,61665.0,61710.0,61766.0,61843.0,61914.0,61967.0,62029.0,62088.0,62173.0,62230.0,62283.0,62372.0,62428.0,62492.0,62556.0,62629.0,62683.0,62747.0,62800.0,62830.0,62868.0,62938.0,62961.0,63025.0,63065.0,63093.0,63140.0
5018335,67500.0,67513.0,67615.0,67671.0,67753.0,67821.0,67942.0,68302.0,68467.0,68574.0,68772.0,68943.0,69020.0,69098.0,69142.0,69196.0,69271.0,69341.0,69392.0,69450.0,69495.0,69560.0,69604.0,69645.0,69713.0,69766.0,69827.0,69888.0,69957.0,70006.0,70068.0,70119.0,70147.0,70183.0,70249.0,70272.0,70325.0,70360.0,70385.0,70431.0
