tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P
5018343,60420.0,60547.0,60688.0,60858.0,60995.0,61025.0,61301.0,61405.0,61546.0,61629.0,61732.0,61840.0,61993.0,62031.0,62355.0,62380.0,62399.0,62550.0,62605.0,62664.0,62709.0,62770.0,62835.0,62924.0,62986.0,63052.0,63091.0,63151.0,63219.0,63247.0,63266.0,63388.0,63458.0,63500.0,63580.0,63700.0,63781.0,63829.0,63864.0,63922.0
5018344,68520.0,68597.0,68683.0,68819.0,68929.0,68953.0,69175.0,69249.0,69350.0,69428.0,69512.0,69600.0,69725.0,69764.0,70058.0,70081.0,70097.0,70241.0,70291.0,70345.0,70387.0,70439.0,70494.0,70577.0,70635.0,70697.0,70734.0,70791.0,70856.0,70880.0,70896.0,71000.0,71060.0,71100.0,71176.0,71289.0,71365.0,71410.0,71443.0,71497.0
5018346,76620.0,76691.0,76769.0,76890.0,76988.0,77009.0,77207.0,77274.0,77365.0,77433.0,77507.0,77584.0,77692.0,77725.0,78000.0,78021.0,78036.0,78149.0,78190.0,78236.0,78277.0,78327.0,78374.0,78448.0,78499.0,78553.0,78591.0,78650.0,78717.0,78739.0,78753.0,78846.0,78899.0,78939.0,79015.0,79119.0,79189.0,79231.0,79262.0,79311.0
5018348,83820.0,83891.0,83969.0,84090.0,84188.0,84209.0,84407.0,84474.0,84565.0,84633.0,84707.0,84784.0,84892.0,84925.0,85200.0,85221.0,85236.0,85349.0,85390.0,85436.0,85477.0,85527.0,85574.0,85648.0,85699.0,85753.0,85791.0,85850.0,85917.0,85939.0,85953.0,86046.0,86099.0,86139.0,86215.0,86319.0,86389.0,86431.0,86462.0,86511.0
5083933,50520.0,50629.0,50750.0,50883.0,50991.0,51014.0,51231.0,51321.0,51444.0,51532.0,51615.0,51702.0,51821.0,51857.0,52159.0,52183.0,52199.0,52328.0,52373.0,52420.0,52458.0,52521.0,52575.0,52660.0,52720.0,52783.0,52819.0,52875.0,52939.0,52965.0,52982.0,53095.0,53160.0,53197.0,53267.0,53378.0,53452.0,53496.0,53528.0,53582.0
5083935,58320.0,58442.0,58578.0,58741.0,58873.0,58902.0,59167.0,59267.0,59403.0,59483.0,59582.0,59686.0,59833.0,59870.0,60182.0,60206.0,60224.0,60369.0,60422.0,60479.0,60522.0,60581.0,60644.0,60730.0,60790.0,60853.0,60891.0,60949.0,61014.0,61041.0,61059.0,61177.0,61244.0,61284.0,61361.0,61477.0,61555.0,61601.0,61635.0,61690.0
5083936,66420.0,66542.0,66678.0,66841.0,66973.0,67002.0,67267.0,67367.0,67503.0,67583.0,67682.0,67786.0,67933.0,67970.0,68282.0,68306.0,68324.0,68469.0,68522.0,68579.0,68622.0,68681.0,68744.0,68830.0,68890.0,68953.0,68991.0,69049.0,69114.0,69141.0,69159.0,69277.0,69344.0,69384.0,69461.0,69577.0,69655.0,69701.0,69735.0,69790.0
5085036,61620.0,61742.0,61878.0,62041.0,62173.0,62202.0,62467.0,62567.0,62703.0,62783.0,62882.0,62986.0,63133.0,63170.0,63482.0,63506.0,63524.0,63669.0,63722.0,63779.0,63822.0,63881.0,63944.0,64030.0,64090.0,64153.0,64191.0,64249.0,64314.0,64341.0,64359.0,64477.0,64544.0,64584.0,64661.0,64777.0,64855.0,64901.0,64935.0,64990.0
5086681,63420.0,63542.0,63678.0,63841.0,63973.0,64002.0,64267.0,64367.0,64503.0,64583.0,64682.0,64786.0,64933.0,64970.0,65282.0,65306.0,65324.0,65469.0,65522.0,65579.0,65622.0,65681.0,65744.0,65830.0,65890.0,65953.0,65991.0,66049.0,66114.0,66141.0,66159.0,66277.0,66344.0,66384.0,66461.0,66577.0,66655.0,66701.0,66735.0,66790.0
5087191,45120.0,45229.0,45350.0,45483.0,45591.0,45614.0,45831.0,45921.0,46044.0,46132.0,46215.0,46302.0,46421.0,46457.0,46759.0,46783.0,46799.0,46928.0,46973.0,47020.0,47058.0,47121.0,47175.0,47260.0,47320.0,47383.0,47419.0,47475.0,47539.0,47565.0,47582.0,47695.0,47760.0,47797.0,47867.0,47978.0,48052.0,48096.0,48128.0,48182.0
5087511,43320.0,43429.0,43550.0,43683.0,43791.0,43814.0,44031.0,44121.0,44244.0,44332.0,44415.0,44502.0,44621.0,44657.0,44959.0,44983.0,44999.0,45128.0,45173.0,45220.0,45258.0,45321.0,45375.0,45460.0,45520.0,45583.0,45619.0,45675.0,45739.0,45765.0,45782.0,45895.0,45960.0,45997.0,46067.0,46178.0,46252.0,46296.0,46328.0,46382.0
5087634,71220.0,71294.0,71377.0,71508.0,71614.0,71637.0,71850.0,71921.0,72018.0,72093.0,72174.0,72258.0,72378.0,72416.0,72698.0,72720.0,72736.0,72874.0,72922.0,72974.0,73014.0,73064.0,73117.0,73197.0,73253.0,73312.0,73348.0,73403.0,73465.0,73488.0,73503.0,73603.0,73661.0,73700.0,73773.0,73882.0,73955.0,73998.0,74030.0,74082.0
5087645,40620.0,40734.0,40860.0,40976.0,41070.0,41090.0,41280.0,41305.0,41340.0,41460.0,41489.0,41520.0,41640.0,41940.0,42046.0,42054.0,42060.0,42180.0,42240.0,42300.0,42360.0,42420.0,42540.0,42565.0,42582.0,42600.0,42642.0,42707.0,42780.0,42801.0,42815.0,42907.0,42960.0,43001.0,43080.0,43207.0,43292.0,43343.0,43380.0,43440.0
5088138,62220.0,62342.0,62478.0,62641.0,62773.0,62802.0,63067.0,63167.0,63303.0,63383.0,63482.0,63586.0,63733.0,63770.0,64082.0,64106.0,64124.0,64269.0,64322.0,64379.0,64422.0,64481.0,64544.0,64630.0,64690.0,64753.0,64791.0,64849.0,64914.0,64941.0,64959.0,65077.0,65144.0,65184.0,65261.0,65377.0,65455.0,65501.0,65535.0,65590.0
5088884,53220.0,53334.0,53460.0,53576.0,53670.0,53690.0,53880.0,53931.0,54000.0,54180.0,54209.0,54240.0,54360.0,54660.0,54766.0,54774.0,54780.0,54840.0,54900.0,54960.0,55020.0,55080.0,55260.0,55285.0,55302.0,55320.0,55362.0,55427.0,55500.0,55521.0,55535.0,55627.0,55680.0,55721.0,55800.0,55927.0,56012.0,56063.0,56100.0,56160.0
5088981,61020.0,61142.0,61278.0,61441.0,61573.0,61602.0,61867.0,61967.0,62103.0,62183.0,62282.0,62386.0,62533.0,62570.0,62882.0,62906.0,62924.0,63069.0,63122.0,63179.0,63222.0,63281.0,63344.0,63430.0,63490.0,63553.0,63591.0,63649.0,63714.0,63741.0,63759.0,63877.0,63944.0,63984.0,64061.0,64177.0,64255.0,64301.0,64335.0,64390.0
5088983,69720.0,69794.0,69877.0,70008.0,70114.0,70137.0,70350.0,70421.0,70518.0,70593.0,70674.0,70758.0,70878.0,70916.0,71198.0,71220.0,71236.0,71374.0,71422.0,71474.0,71514.0,71564.0,71617.0,71697.0,71753.0,71812.0,71848.0,71903.0,71965.0,71988.0,72003.0,72103.0,72161.0,72200.0,72273.0,72382.0,72455.0,72498.0,72530.0,72582.0
5088985,78420.0,78488.0,78563.0,78680.0,78774.0,78794.0,78984.0,79048.0,79136.0,79201.0,79272.0,79346.0,79450.0,79482.0,79746.0,79767.0,79781.0,79890.0,79929.0,79973.0,80012.0,80060.0,80105.0,80176.0,80225.0,80277.0,80314.0,80371.0,80435.0,80456.0,80470.0,80560.0,80610.0,80649.0,80722.0,80822.0,80889.0,80929.0,80958.0,81007.0
5089778,78420.0,78534.0,78660.0,78760.0,78841.0,78859.0,79020.0,79071.0,79140.0,79260.0,79289.0,79320.0,79440.0,79740.0,79846.0,79854.0,79860.0,79920.0,79980.0,80040.0,80100.0,80160.0,80280.0,80305.0,80322.0,80340.0,80368.0,80411.0,80460.0,80481.0,80495.0,80587.0,80640.0,80681.0,80760.0,80887.0,80972.0,81023.0,81060.0,81120.0
5090373,59220.0,59342.0,59478.0,59641.0,59773.0,59802.0,60067.0,60167.0,60303.0,60383.0,60482.0,60586.0,60733.0,60770.0,61082.0,61106.0,61124.0,61269.0,61322.0,61379.0,61422.0,61481.0,61544.0,61630.0,61690.0,61753.0,61791.0,61849.0,61914.0,61941.0,61959.0,62077.0,62144.0,62184.0,62261.0,62377.0,62455.0,62501.0,62535.0,62590.0
