tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P
5084009,25500.0,25538.0,25581.0,25611.0,25640.0,25694.0,25736.0,25769.0,25814.0,25942.0,26000.0,26073.0,26093.0,26134.0,26167.0,26196.0,26245.0,26307.0,26365.0,26402.0,26442.0,26521.0,26597.0,26641.0,26813.0,26914.0,27032.0,27174.0,27267.0,27359.0,27517.0
5084013,36900.0,36939.0,36983.0,37014.0,37044.0,37100.0,37144.0,37178.0,37225.0,37365.0,37459.0,37578.0,37599.0,37642.0,37676.0,37707.0,37758.0,37822.0,37882.0,37920.0,37964.0,38028.0,38106.0,38151.0,38306.0,38400.0,38510.0,38642.0,38735.0,38827.0,38986.0
5084015,46500.0,46540.0,46585.0,46617.0,46648.0,46705.0,46749.0,46784.0,46832.0,47003.0,47100.0,47223.0,47247.0,47296.0,47335.0,47370.0,47419.0,47480.0,47538.0,47574.0,47615.0,47686.0,47773.0,47824.0,47964.0,48073.0,48172.0,48291.0,48386.0,48479.0,48640.0
5084317,33300.0,33345.0,33395.0,33431.0,33465.0,33529.0,33578.0,33617.0,33669.0,33832.0,33926.0,34045.0,34074.0,34131.0,34177.0,34218.0,34269.0,34333.0,34393.0,34431.0,34472.0,34555.0,34645.0,34697.0,34893.0,35033.0,35256.0,35526.0,35622.0,35717.0,35882.0
5084319,51600.0,51640.0,51685.0,51717.0,51748.0,51805.0,51849.0,51884.0,51932.0,52103.0,52200.0,52323.0,52347.0,52396.0,52435.0,52470.0,52519.0,52580.0,52638.0,52674.0,52715.0,52786.0,52873.0,52924.0,53064.0,53173.0,53272.0,53391.0,53486.0,53579.0,53740.0
5084323,64500.0,64536.0,64576.0,64604.0,64631.0,64682.0,64721.0,64752.0,64794.0,64946.0,65036.0,65152.0,65175.0,65221.0,65258.0,65291.0,65338.0,65397.0,65453.0,65488.0,65527.0,65599.0,65684.0,65734.0,65898.0,66059.0,66162.0,66287.0,66381.0,66473.0,66633.0
5084325,70200.0,70234.0,70272.0,70299.0,70325.0,70373.0,70411.0,70440.0,70481.0,70589.0,70650.0,70728.0,70745.0,70779.0,70807.0,70832.0,70868.0,70913.0,70955.0,70982.0,71012.0,71065.0,71128.0,71165.0,71295.0,71416.0,71493.0,71586.0,71678.0,71768.0,71924.0
5086644,31500.0,31545.0,31595.0,31631.0,31665.0,31729.0,31778.0,31817.0,31869.0,32032.0,32126.0,32245.0,32274.0,32331.0,32377.0,32418.0,32469.0,32533.0,32593.0,32631.0,32672.0,32755.0,32845.0,32897.0,33093.0,33233.0,33456.0,33726.0,33822.0,33917.0,34082.0
5086653,66600.0,66636.0,66676.0,66704.0,66731.0,66782.0,66821.0,66852.0,66894.0,67046.0,67136.0,67252.0,67275.0,67321.0,67358.0,67391.0,67438.0,67497.0,67553.0,67588.0,67627.0,67699.0,67784.0,67834.0,67998.0,68159.0,68262.0,68387.0,68481.0,68573.0,68733.0
5086656,79200.0,79234.0,79272.0,79299.0,79325.0,79373.0,79410.0,79439.0,79479.0,79555.0,79608.0,79675.0,79690.0,79720.0,79744.0,79765.0,79802.0,79848.0,79891.0,79918.0,79948.0,79999.0,80055.0,80088.0,80204.0,80276.0,80336.0,80408.0,80490.0,80571.0,80712.0
5087256,43740.0,43777.0,43819.0,43849.0,43878.0,43931.0,43973.0,44006.0,44050.0,44170.0,44232.0,44312.0,44331.0,44369.0,44399.0,44426.0,44467.0,44519.0,44568.0,44599.0,44633.0,44701.0,44771.0,44812.0,44977.0,45078.0,45150.0,45236.0,45329.0,45420.0,45578.0
5087258,49140.0,49177.0,49219.0,49249.0,49278.0,49331.0,49373.0,49406.0,49450.0,49570.0,49632.0,49712.0,49731.0,49769.0,49799.0,49826.0,49867.0,49919.0,49968.0,49999.0,50033.0,50101.0,50171.0,50212.0,50377.0,50478.0,50550.0,50636.0,50729.0,50820.0,50978.0
